Course Code,Course Name,2021 Round 1,2021 Round 2,2020 Round 1,2020 Round 2,2019 Round 1,2021 assessment,2020 assessment,2019 assessment
CR400,Accounting,315,NaN,316,,316,False,False,False
CR420,Marketing,290,NaN,285,,288,False,False,False
CR425,InternationalBusinesswithLanguage,279,NaN,298,,300,False,False,False
CR430,SportandExerciseManagement,402,NaN,322,,,False,False,False
CR435,CoachingScienceandSportsPedagogy,410,NaN,,,,False,,False
CR440,MontessoriEducation,409,408,288,,,False,False,False
CR500,Engineering(CommonEntry),475,NaN,411,,381,False,False,False
CR510,SustainableEnergyEngineering,320,NaN,320,,319,False,False,False
CR520,BiomedicalEngineering,444,NaN,444,,434,False,False,False
CR560,ArchitecturalTechnology,375,NaN,308,,288,False,False,False
CR565,InteriorArchitecture,431,NaN,359,,336,False,False,False
CR570,QuantitySurveying,375,NaN,336,,279,False,False,False
CR572,ConstructionManagement,300,NaN,269,,253,False,False,False
CR580,ElectricalEngineering,342,NaN,318,,344,False,False,False
CR590,ElectronicEngineering,329,NaN,303,,342,False,False,False
CR600,VisualCommunicationsatCITCrawfordCollegeofA,280,NaN,NaN,,587,True,True,True
CR660,TourismManagement,246,NaN,252,,249,False,False,False
CR700,TheatreandDramaStudiesatCITCorkSchoolofMu,609,609,740,645,768,True,True,True
CR930,HomeEconomicsandBusiness,518,NaN,,,,False,,False
CK101,Arts-3years,300,NaN,300,,300,False,False,False
CK102,SocialScience,434,431,412,,391,False,False,False
CK104,ArtswithMusic-3or4years(BMusorChinese/Eu,339,NaN,302,,340,True,True,True
CK105,FilmandScreenMedia-3yearsor4years(Intern,421,420,368,337,397,False,False,False
CK107,GeographicalandArchaeologicalSciences-3or4,312,NaN,328,,326,False,False,False
CK108,ArtsInternational-4years,440,440,401,,429,False,False,False
CK109,English-3yearsor4years(InternationalPathwa,367,357,318,,347,False,False,False
CK110,WorldLanguages,488,NaN,452,433,456,False,False,False
CK111,EarlyYearsandChildhoodStudies,409,403,419,,398,False,False,False
CK112,TheatreandPerformativePractices-3or4years,371,NaN,330,,324,True,True,True
CK113,Criminology-3yearsor4years(InternationalPa,464,463,423,,408,False,False,False
CK114,SocialScience(YouthandCommunityWork),NaN,NaN,,,NaN,True,True,True
CK115,SocialWork-MatureApplicantsonly,NaN,NaN,,,NaN,False,False,True
CK118,DigitalHumanitiesandIT-3or4years(WorkExp,347,339,336,,307,False,False,False
CK120,AppliedPsychology,544,543,533,532,506,False,False,False
CK121,PsychologyandComputing-3or4years(WorkExpe,499,488,466,,393,False,False,False
CK122,GovernmentandPoliticalScience,399,NaN,337,328,355,False,False,False
CK123,Anthropology,308,NaN,308,,,False,False,False
CK124,Education-Gaeilge,473,NaN,463,462,,False,False,False
CK125,SportsStudiesandPhysicalEducation,564,555,510,509,,False,False,False
CK201,Commerce,500,499,477,,465,False,False,False
CK202,Accounting,553,543,509,,467,False,False,False
CK203,BusinessInformationSystems,455,452,430,,409,False,False,False
CK204,Finance,566,566,556,,531,False,False,False
CK205,Commerce(International)withFrench,465,NaN,445,,409,False,False,False
CK206,Commerce(International)withGerman,466,455,420,418,408,False,False,False
CK207,Commerce(International)withItalian,423,418,388,,408,False,False,False
CK208,Commerce(International)withHispanicStudies,488,486,402,,431,False,False,False
CK209,Commerce(International)withIrish,507,NaN,484,,509,False,False,False
CK211,Commerce(International)withChineseStudies,385,NaN,397,,398,False,False,False
CK212,Economics(throughTransformationalLearning)3or,445,444,444,,400,False,False,False
CK213,FoodMarketingandEntrepreneurship,466,NaN,462,,,False,False,False
CK214,InternationalDevelopment,332,NaN,346,,,False,False,False
CK301,Law(Pathways)-3or4years,533,532,507,499,476,False,False,False
