Course Code,Course Name,2021 Round 1,2021 Round 2,2020 Round 1,2020 Round 2,2019 Round 1,2021 assessment,2020 assessment,2019 assessment
AL802,Software Design in Artificial Intelligence for Clo,313,0,332,0,301,False,False,False
AL803,Software Design for Mobile Apps and Connected Devi,350,0,337,0,309,False,False,False
AL805,Computer Engineering for Network Infrastructure   ,321,0,333,0,329,False,False,False
AL810,Quantity Surveying                                ,328,0,319,0,307,False,False,False
AL811,Civil Engineering                                 ,0,0,320,0,0,False,False,False
AL820,Mechanical and Polymer Engineering                ,327,0,308,0,300,False,False,False
AL830,General Nursing                                   ,451,444,442,0,410,False,False,False
AL832,Mental Health Nursing                             ,440,431,387,384,387,False,False,False
AL835,Pharmacology                                      ,356,0,0,0,0,False,0,False
AL836,Nutrition and Health Science                      ,346,0,334,0,352,False,False,False
AL837,Sports Science with Exercise Physiology           ,357,0,351,0,351,False,False,False
AL838,Biotechnology                                     ,324,0,307,0,302,False,False,False
AL839,Microbiology                                      ,325,0,325,0,322,False,False,False
AL840,Pharmaceutical Sciences                           ,346,0,347,0,328,False,False,False
AL841,Athletic and Rehabilitation Therapy               ,477,476,430,0,423,False,False,False
AL842,Bioveterinary Science                             ,338,0,313,0,310,False,False,False
AL843,Physical Activity and Health Science              ,306,0,306,0,310,False,False,False
AL849,Culinary Entrepreneurship                         ,297,0,0,0,0,False,0,False
AL850,Business                                          ,309,0,309,0,307,False,False,False
AL851,Business and Law                                  ,302,0,295,0,301,False,False,False
AL852,Accounting                                        ,336,0,309,0,290,False,False,False
AL854,Sport Management (with international placement)   ,300,299,302,299,0,False,False,False
AL855,Hospitality Management (with international placeme,309,0,308,0,312,False,False,False
AL857,Digital Marketing                                 ,304,0,304,0,300,False,False,False
AL859,International Business                            ,308,0,0,0,0,False,0,False
AL860,Social Care Practice                              ,301,0,300,0,309,False,False,False
AL861,Animation and Illustration (portfolio)            ,575,0,578,0,615,True,True,True
AL863,Graphic and Digital Design (portfolio)            ,747,0,781,0,703,True,True,True
AL864,Early Years Care and Education                    ,306,0,307,0,307,False,False,False
AL870,Applied Psychology                                ,484,467,418,0,409,False,False,False
CW018,Business (options)                                ,307,0,298,248,327,False,False,False
CW028,Early Childhood Education and Care                ,260,0,252,0,252,False,False,False
CW038,Art (portfolio)                                   ,700,0,700,0,700,True,True,True
CW058,Tourism and Event Management                      ,292,0,298,0,252,False,False,False
CW068,Applied Social Studies in Professional Social Care,250,0,245,0,251,False,False,False
CW078,Sustainable Farm Management and Agribusiness      ,270,0,269,0,266,False,False,False
CW088,Visual Communications and Design                  ,270,0,274,0,309,False,False,False
CW108,Science (options)                                 ,266,0,261,0,261,False,False,False
CW128,Brewing and Distilling                            ,307,0,263,0,271,False,False,False
CW138,Sport and Exercise Science                        ,430,423,423,0,0,False,False,False
CW148,Strength and Conditioning                         ,388,0,379,0,0,False,False,False
CW188,Sport Rehabilitation and Athletic Therapy         ,451,0,451,448,454,False,False,False
CW208,Computer Games Development                        ,272,0,279,0,281,False,False,False
CW238,Software Development                              ,295,0,297,0,300,False,False,False
CW248,Information Technology Management                 ,293,0,285,0,307,False,False,False
CW258,Cybercrime and IT Security                        ,292,0,293,0,300,False,False,False
CW268,Computing in Interactive Digital Art and Design   ,291,0,287,0,274,False,False,False
CW438,Construction (options)                            ,260,251,272,0,271,False,False,False
CW468,Architectural Technology                          ,291,283,262,0,252,False,False,False
CW478,Civil Engineering                                 ,465,0,433,0,348,False,False,False
CW548,Mechanical Engineering                            ,330,328,321,0,310,False,False,False
CW558,Electronic Systems                                ,280,0,280,0,279,False,False,False
CW568,Aerospace Engineering                             ,371,359,380,0,366,False,False,False
CW578,TV and Media Production                           ,318,0,325,0,327,False,False,False
CW708,Law - LLB                                         ,292,0,302,0,298,False,False,False
CW728,Product Design Innovation                         ,246,0,252,0,286,False,False,False
CW748,Early Childhood Education and Care                ,290,0,270,0,265,False,False,False
CW758,Professional Social Care Practice                 ,360,358,336,0,290,False,False,False
CW808,Media and Public Relations                        ,247,0,251,0,248,False,False,False
