Course Code,Course Name,2021 Round 1,2021 Round 2,2020 Round 1,2020 Round 2,2019 Round 1,2021 assessment,2020 assessment,2019 assessment
AL802,False,0,1,0,1,0,False,False,False
AL803,False,0,1,0,1,0,False,False,False
AL805,False,0,1,0,1,0,False,False,False
AL810,False,0,1,0,1,0,False,False,False
AL811,False,1,1,0,1,1,False,False,False
AL820,False,0,1,0,1,0,False,False,False
AL830,False,0,0,0,1,0,False,False,False
AL832,False,0,0,0,0,0,False,False,False
AL835,False,0,1,1,1,1,False,True,False
AL836,False,0,1,0,1,0,False,False,False
AL837,False,0,1,0,1,0,False,False,False
AL838,False,0,1,0,1,0,False,False,False
AL839,False,0,1,0,1,0,False,False,False
AL840,False,0,1,0,1,0,False,False,False
AL841,False,0,0,0,1,0,False,False,False
AL842,False,0,1,0,1,0,False,False,False
AL843,False,0,1,0,1,0,False,False,False
AL849,False,0,1,1,1,1,False,True,False
AL850,False,0,1,0,1,0,False,False,False
AL851,False,0,1,0,1,0,False,False,False
AL852,False,0,1,0,1,0,False,False,False
AL854,False,0,0,0,0,1,False,False,False
AL855,False,0,1,0,1,0,False,False,False
AL857,False,0,1,0,1,0,False,False,False
AL859,False,0,1,1,1,1,False,True,False
AL860,False,0,1,0,1,0,False,False,False
AL861,False,0,1,0,1,0,False,False,False
AL863,False,0,1,0,1,0,False,False,False
AL864,False,0,1,0,1,0,False,False,False
AL870,False,0,0,0,1,0,False,False,False
CW018,False,0,1,0,0,0,False,False,False
CW028,False,0,1,0,1,0,False,False,False
CW038,False,0,1,0,1,0,False,False,False
CW058,False,0,1,0,1,0,False,False,False
CW068,False,0,1,0,1,0,False,False,False
CW078,False,0,1,0,1,0,False,False,False
CW088,False,0,1,0,1,0,False,False,False
CW108,False,0,1,0,1,0,False,False,False
CW128,False,0,1,0,1,0,False,False,False
CW138,False,0,0,0,1,1,False,False,False
CW148,False,0,1,0,1,1,False,False,False
CW188,False,0,1,0,0,0,False,False,False
CW208,False,0,1,0,1,0,False,False,False
CW238,False,0,1,0,1,0,False,False,False
CW248,False,0,1,0,1,0,False,False,False
CW258,False,0,1,0,1,0,False,False,False
CW268,False,0,1,0,1,0,False,False,False
CW438,False,0,0,0,1,0,False,False,False
CW468,False,0,0,0,1,0,False,False,False
CW478,False,0,1,0,1,0,False,False,False
CW548,False,0,0,0,1,0,False,False,False
CW558,False,0,1,0,1,0,False,False,False
CW568,False,0,0,0,1,0,False,False,False
CW578,False,0,1,0,1,0,False,False,False
CW708,False,0,1,0,1,0,False,False,False
CW728,False,0,1,0,1,0,False,False,False
CW748,False,0,1,0,1,0,False,False,False
CW758,False,0,0,0,1,0,False,False,False
CW808,False,0,1,0,1,0,False,False,False
CW848,False,0,1,0,1,0,False,False,False
CW858,False,0,1,0,1,0,False,False,False
CW908,False,0,1,0,1,0,False,False,False
CW938,False,0,1,0,1,0,False,False,False
CW948,False,0,1,0,1,0,False,False,False
PC405,False,0,0,0,0,0,False,False,False
PC410,False,0,0,0,0,0,False,False,False
PC411,False,0,0,0,0,0,False,False,False
CR105,False,0,1,0,1,0,False,False,False
CR106,False,0,1,0,1,0,False,False,False
CR108,False,0,1,0,1,0,False,False,False
CR109,False,0,1,0,1,0,False,False,False
CR110,False,0,1,0,1,0,False,False,False
CR112,False,0,1,0,1,0,False,False,False
CR116,False,0,1,0,1,0,False,False,False
CR121,False,0,0,0,1,0,False,False,False
CR125,False,0,1,0,1,0,False,False,False
CR130,False,0,1,0,0,0,False,False,False
CR150,False,0,1,0,1,0,False,False,False
CR210,False,0,1,1,1,0,False,False,False
CR220,False,0,1,1,1,0,False,False,False
CR225,False,0,1,1,1,0,False,False,False
CR305,False,0,1,0,1,0,False,False,False
CR310,False,0,1,0,1,0,False,False,False
CR320,False,0,1,0,1,0,False,False,False
CR325,False,0,1,0,1,0,False,False,False
CR333,False,0,1,0,1,0,False,False,False
CR335,False,0,1,0,1,0,False,False,False
CR340,False,0,1,0,1,0,False,False,False
CR360,False,0,1,0,1,0,False,False,False
CR365,False,0,1,0,1,0,False,False,False
CR370,False,0,1,0,1,0,False,False,False
CR400,False,0,1,0,1,0,False,False,False
CR420,False,0,1,0,1,0,False,False,False
CR425,False,0,1,0,1,0,False,False,False
CR430,False,0,1,0,1,1,False,False,False
CR435,False,0,1,1,1,1,False,True,False
CR440,False,0,0,0,1,1,False,False,False
CR500,False,0,1,0,1,0,False,False,False
CR510,False,0,1,0,1,0,False,False,False
CR520,False,0,1,0,1,0,False,False,False
CR560,False,0,1,0,1,0,False,False,False
CR565,False,0,1,0,1,0,False,False,False
CR570,False,0,1,0,1,0,False,False,False
CR572,False,0,1,0,1,0,False,False,False
CR580,False,0,1,0,1,0,False,False,False
CR590,False,0,1,0,1,0,False,False,False
CR600,False,0,1,1,1,0,False,False,False
CR660,False,0,1,0,1,0,False,False,False
CR700,False,0,0,0,0,0,False,False,False
CR930,False,0,1,1,1,1,False,True,False
CK101,False,0,1,0,1,0,False,False,False
CK102,False,0,0,0,1,0,False,False,False
CK104,False,0,1,0,1,0,False,False,False
CK105,False,0,0,0,0,0,False,False,False
CK107,False,0,1,0,1,0,False,False,False
CK108,False,0,0,0,1,0,False,False,False
CK109,False,0,0,0,1,0,False,False,False
CK110,False,0,1,0,0,0,False,False,False
CK111,False,0,0,0,1,0,False,False,False
CK112,False,0,1,0,1,0,False,False,False
CK113,False,0,0,0,1,0,False,False,False
CK114,False,1,1,1,1,1,False,False,False
CK115,False,1,1,1,1,1,False,False,False
CK118,False,0,0,0,1,0,False,False,False
CK120,False,0,0,0,0,0,False,False,False
CK121,False,0,0,0,1,0,False,False,False
CK122,False,0,1,0,0,0,False,False,False
CK123,False,0,1,0,1,1,False,False,False
CK124,False,0,1,0,0,1,False,False,False
CK125,False,0,0,0,0,1,False,False,False
