Course Code,Course Name,2021 Round 1,2021 Round 2,2020 Round 1,2020 Round 2,2019 Round 1,2021 assessment,2020 assessment,2019 assessment
AL802,Software Design in Artificial Intelligence for Clo,313,,332,,301,False,False,False
AL803,Software Design for Mobile Apps and Connected Devi,350,,337,,309,False,False,False
AL805,Computer Engineering for Network Infrastructure   ,321,,333,,329,False,False,False
AL810,Quantity Surveying                                ,328,,319,,307,False,False,False
AL811,Civil Engineering                                 ,,,320,,,False,False,False
AL820,Mechanical and Polymer Engineering                ,327,,308,,300,False,False,False
AL830,General Nursing                                   ,451,444,442,,410,False,False,False
AL832,Mental Health Nursing                             ,440,431,387,384,387,False,False,False
AL835,Pharmacology                                      ,356,,,,,False,,False
AL836,Nutrition and Health Science                      ,346,,334,,352,False,False,False
AL837,Sports Science with Exercise Physiology           ,357,,351,,351,False,False,False
AL838,Biotechnology                                     ,324,,307,,302,False,False,False
AL839,Microbiology                                      ,325,,325,,322,False,False,False
AL840,Pharmaceutical Sciences                           ,346,,347,,328,False,False,False
AL841,Athletic and Rehabilitation Therapy               ,477,476,430,,423,False,False,False
AL842,Bioveterinary Science                             ,338,,313,,310,False,False,False
AL843,Physical Activity and Health Science              ,306,,306,,310,False,False,False
AL849,Culinary Entrepreneurship                         ,297,,,,,False,,False
AL850,Business                                          ,309,,309,,307,False,False,False
AL851,Business and Law                                  ,302,,295,,301,False,False,False
AL852,Accounting                                        ,336,,309,,290,False,False,False
AL854,Sport Management (with international placement)   ,300,299,302,299,,False,False,False
AL855,Hospitality Management (with international placeme,309,,308,,312,False,False,False
AL857,Digital Marketing                                 ,304,,304,,300,False,False,False
AL859,International Business                            ,308,,,,,False,,False
AL860,Social Care Practice                              ,301,,300,,309,False,False,False
AL861,Animation and Illustration (portfolio)            ,575,,578,,615,True,True,True
AL863,Graphic and Digital Design (portfolio)            ,747,,781,,703,True,True,True
AL864,Early Years Care and Education                    ,306,,307,,307,False,False,False
AL870,Applied Psychology                                ,484,467,418,,409,False,False,False
CW018,Business (options)                                ,307,,298,248,327,False,False,False
CW028,Early Childhood Education and Care                ,260,,252,,252,False,False,False
CW038,Art (portfolio)                                   ,700,,700,,700,True,True,True
CW058,Tourism and Event Management                      ,292,,298,,252,False,False,False
CW068,Applied Social Studies in Professional Social Care,250,,245,,251,False,False,False
CW078,Sustainable Farm Management and Agribusiness      ,270,,269,,266,False,False,False
CW088,Visual Communications and Design                  ,270,,274,,309,False,False,False
CW108,Science (options)                                 ,266,,261,,261,False,False,False
CW128,Brewing and Distilling                            ,307,,263,,271,False,False,False
CW138,Sport and Exercise Science                        ,430,423,423,,,False,False,False
CW148,Strength and Conditioning                         ,388,,379,,,False,False,False
CW188,Sport Rehabilitation and Athletic Therapy         ,451,,451,448,454,False,False,False
CW208,Computer Games Development                        ,272,,279,,281,False,False,False
CW238,Software Development                              ,295,,297,,300,False,False,False
CW248,Information Technology Management                 ,293,,285,,307,False,False,False
CW258,Cybercrime and IT Security                        ,292,,293,,300,False,False,False
CW268,Computing in Interactive Digital Art and Design   ,291,,287,,274,False,False,False
CW438,Construction (options)                            ,260,251,272,,271,False,False,False
CW468,Architectural Technology                          ,291,283,262,,252,False,False,False
CW478,Civil Engineering                                 ,465,,433,,348,False,False,False
CW548,Mechanical Engineering                            ,330,328,321,,310,False,False,False
CW558,Electronic Systems                                ,280,,280,,279,False,False,False
CW568,Aerospace Engineering                             ,371,359,380,,366,False,False,False
CW578,TV and Media Production                           ,318,,325,,327,False,False,False
CW708,Law - LLB                                         ,292,,302,,298,False,False,False
CW728,Product Design Innovation                         ,246,,252,,286,False,False,False
CW748,Early Childhood Education and Care                ,290,,270,,265,False,False,False
CW758,Professional Social Care Practice                 ,360,358,336,,290,False,False,False
CW808,Media and Public Relations                        ,247,,251,,248,False,False,False
CW848,Digital Marketing with Analytics                  ,269,,254,,279,False,False,False
CW858,Sports Management and Coaching (options  portfolio,700,,700,,700,True,True,True
CW908,Business (options)                                ,272,,280,,260,False,False,False
CW938,Business with Law                                 ,270,,283,,270,False,False,False
CW948,Accounting                                        ,319,,300,,301,False,False,False
PC405,Social  Political and Community Studies           ,263,235,253,216,251,False,False,False
PC410,Arts and Humanities (fulfils Teaching Council requ,262,230,252,209,203,False,False,False
PC411,English and History (fulfils Teaching Council requ,243,224,255,209,168,False,False,False
CR105,Chemical and Biopharmaceutical Engineering        ,443,,443,,432,False,False,False
CR106,Software Development                              ,431,,411,,351,False,False,False
CR108,Mechanical Engineering                            ,434,,434,,425,False,False,False
CR109,Structural Engineering                            ,396,,394,,341,False,False,False
CR110,Automotive Business Management and Technology     ,336,,311,,318,False,False,False
CR112,Creative Digital Media at CIT Crawford College of ,390,,361,,335,False,False,False
CR116,Computer Systems                                  ,365,,332,,318,False,False,False
CR121,Music at CIT Cork School of Music                 ,904,904,868,,633,True,True,True
CR125,Popular Music at CIT Cork School of Music         ,1028,,1088,,972,True,True,True
CR130,Musical Theatre at CIT Cork School of Music       ,525,,548,518,500,True,True,True
CR150,Business Information Systems                      ,350,,335,,326,False,False,False
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,450,,,,979,True,True,True
CR220,Fine Art at CIT Crawford College of Art and Design,400,,,,620,True,True,True
CR225,Photography with New Media at CIT Crawford College,435,,,,920,True,True,True
CR305,Physical Sciences (Common Entry)                  ,260,,282,,279,False,False,False
CR310,IT Management                                     ,347,,297,,282,False,False,False
CR320,Biomedical Science - Offered jointly by CIT and UC,590,,565,,546,False,False,False
CR325,Pharmaceutical Biotechnology                      ,466,,398,,388,False,False,False
CR333,Nutrition and Health Science                      ,425,,402,,360,False,False,False
CR335,Biological Sciences (Common Entry)                ,473,,420,,381,False,False,False
CR340,Analytical Chemistry with Quality Assurance       ,327,,251,,288,False,False,False
CR360,Instrument Engineering                            ,301,,261,,291,False,False,False
CR365,Environmental Science and Sustainable Technology  ,262,,253,,334,False,False,False
CR370,Agri-Biosciences                                  ,368,,397,,408,False,False,False
CR400,Accounting                                        ,315,,316,,316,False,False,False
CR420,Marketing                                         ,290,,285,,288,False,False,False
CR425,International Business with Language              ,279,,298,,300,False,False,False
CR430,Sport and Exercise Management                     ,402,,322,,,False,False,False
CR435,Coaching Science and Sports Pedagogy              ,410,,,,,False,,False
CR440,Montessori Education                              ,409,408,288,,,False,False,False
CR500,Engineering (Common Entry)                        ,475,,411,,381,False,False,False
CR510,Sustainable Energy Engineering                    ,320,,320,,319,False,False,False
CR520,Biomedical Engineering                            ,444,,444,,434,False,False,False
CR560,Architectural Technology                          ,375,,308,,288,False,False,False
CR565,Interior Architecture                             ,431,,359,,336,False,False,False
CR570,Quantity Surveying                                ,375,,336,,279,False,False,False
CR572,Construction Management                           ,300,,269,,253,False,False,False
CR580,Electrical Engineering                            ,342,,318,,344,False,False,False
CR590,Electronic Engineering                            ,329,,303,,342,False,False,False
CR600,Visual Communications at CIT Crawford College of A,280,,,,587,True,True,True
CR660,Tourism Management                                ,246,,252,,249,False,False,False
CR700,Theatre and Drama Studies at CIT Cork School of Mu,609,609,740,645,768,True,True,True
CR930,Home Economics and Business                       ,518,,,,,False,,False
CK101,Arts - 3 years                                    ,300,,300,,300,False,False,False
CK102,Social Science                                    ,434,431,412,,391,False,False,False
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,339,,302,,340,True,True,True
CK105,Film and Screen Media - 3 years or 4 years (Intern,421,420,368,337,397,False,False,False
CK107,Geographical and Archaeological Sciences - 3 or 4 ,312,,328,,326,False,False,False
CK108,Arts International - 4 years                      ,440,440,401,,429,False,False,False
CK109,English - 3 years or 4 years (International Pathwa,367,357,318,,347,False,False,False
CK110,World Languages                                   ,488,,452,433,456,False,False,False
CK111,Early Years and Childhood Studies                 ,409,403,419,,398,False,False,False
CK112,Theatre and Performative Practices - 3 or 4 years ,371,,330,,324,True,True,True
CK113,Criminology - 3 years or 4 years (International Pa,464,463,423,,408,False,False,False
CK114,Social Science (Youth and Community Work)         ,,,,,,True,True,True
CK115,Social Work - Mature Applicants only              ,,,,,,False,False,True
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347,339,336,,307,False,False,False
CK120,Applied Psychology                                ,544,543,533,532,506,False,False,False
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499,488,466,,393,False,False,False
CK122,Government and Political Science                  ,399,,337,328,355,False,False,False
CK123,Anthropology                                      ,308,,308,,,False,False,False
CK124,Education - Gaeilge                               ,473,,463,462,,False,False,False
CK125,Sports Studies and Physical Education             ,564,555,510,509,,False,False,False
CK201,Commerce                                          ,500,499,477,,465,False,False,False
CK202,Accounting                                        ,553,543,509,,467,False,False,False
